"experiment","dataset","repeat","method","seed","target_seed","n_samples","burn_in","pre_burn","tuning_profile","time_sec","preprocess_time_sec","sampling_time_sec","covariance_samples","covariance_source","burn_covariance_time_sec","gvi_covariance_time_sec","tuning_time_sec","ess_mean","efficiency","p_jump","rho1","epsilon","L","hmc_initial_epsilon","hmc_initial_L","hmc_gvi_tune_acceptance","hmc_gvi_tune_efficiency","hmc_gvi_tune_rho1","gvi_iterations","gvi_rank"
"4.2.3_glmm","glmm_polypharmacy","1","HMC","14176","","1000000","10000","10000","expanded_hmc_gvi_tuned","8114.896704976913","592.8064163438976","7522.06141418498","10000","hmc_pre_burn","331.50829540751874","","527.0377706345171","764984.6504399444","0.7649846504399443","0.9957039603960396","0.01749087946966","0.0403694124914823","40","0.0403694124914823","32","","","","",""
"4.2.3_glmm","glmm_polypharmacy","1","HMC-GVI","14190","","1000000","10000","10000","pilot_selected_eps072_L24","5865.182529757731","5.566941184923053","5859.615588572808","","sparse_precision_gvi","","5.566941184923053","0.0","879226.7445443788","0.8792267445443789","0.9887693069306932","-0.0121906836016358","0.072","24","","","","","","14184",""
"4.2.3_glmm","glmm_polypharmacy","2","HMC","24176","","1000000","10000","10000","expanded_hmc_gvi_tuned","5130.027157311793","591.8794529330917","4538.11898318911","10000","hmc_pre_burn","326.54866283899173","","533.8233065409586","811999.412274248","0.811999412274248","0.9405574257425744","-0.0469709642778965","0.15","12","0.0423773511415934","24","","","","",""
"4.2.3_glmm","glmm_polypharmacy","2","HMC-GVI","24190","","1000000","10000","10000","pilot_selected_eps072_L24","6429.173307996709","5.645373872946948","6423.527934123762","","sparse_precision_gvi","","5.645373872946948","0.0","872646.2749432697","0.8726462749432696","0.9886475247524752","-0.0086971249672453","0.072","24","","","","","","14490",""
"4.2.3_glmm","glmm_polypharmacy","3","HMC","34176","","1000000","10000","10000","expanded_hmc_gvi_tuned","8493.36586399516","608.2939168419689","7885.042901967186","10000","hmc_pre_burn","343.39835160505027","","533.1230952767655","848009.8322000415","0.8480098322000416","0.995459405940594","-0.0216391122722796","0.0414345075076694","40","0.0414345075076694","40","","","","",""
"4.2.3_glmm","glmm_polypharmacy","3","HMC-GVI","34190","","1000000","10000","10000","pilot_selected_eps072_L24","6041.958210076205","5.681628035847098","6036.276582040358","","sparse_precision_gvi","","5.681628035847098","0.0","876616.3481942563","0.8766163481942563","0.9887940594059406","-0.0108238974797853","0.072","24","","","","","","14526",""
