experiment,dataset,repeat,method,seed,target_seed,n_samples,burn_in,pre_burn,tuning_profile,time_sec,preprocess_time_sec,sampling_time_sec,covariance_samples,covariance_source,burn_covariance_time_sec,gvi_covariance_time_sec,tuning_time_sec,ess_mean,efficiency,p_jump,rho1,epsilon,L,hmc_initial_epsilon,hmc_initial_L,hmc_gvi_tune_acceptance,hmc_gvi_tune_efficiency,hmc_gvi_tune_rho1,gvi_iterations,gvi_rank
4.2.1_logistic,german,1,MALA,12160,,1000000,10000,10000,expanded_hmc_gvi_tuned,70.9862135000003,2.24056550001842,68.74564739999187,10000.0,mala_pre_burn,1.4507428000069922,,0.7898227000114275,146608.3390293757,0.1466083390293757,0.5788623762376237,0.7296171712130364,1.5193388724637278,,,,,,,,
4.2.1_logistic,german,1,RMH,12134,,1000000,10000,10000,expanded_hmc_gvi_tuned,23.78125630000432,0.2332438000012189,23.54801210000005,10000.0,rmh_pre_burn,0.2332438000012189,,0.0,10788.41169411456,0.0107884116941145,0.2409029702970297,0.9746793677902144,,,,,,,,,
4.2.1_logistic,german,2,AM,22146,,1000000,10000,10000,expanded_hmc_gvi_tuned,45.9351253999921,0.0,45.9351253999921,,adaptive,,,0.0,9989.924769833036,0.009989924769833,0.2245702970297029,0.9743719049002044,,,,,,,,,
4.2.1_logistic,german,2,HMC,22176,,1000000,10000,10000,expanded_hmc_gvi_tuned,693.2659576000005,244.80971000000136,448.4562224999973,10000.0,hmc_pre_burn,123.75220750000152,,241.8540888999996,981524.8734299748,0.9815248734299746,0.9879059405940596,-0.0015908546297572,0.1586728542571749,10.0,0.0284484751678003,6.0,,,,,
4.2.1_logistic,german,2,HMC-GVI,22190,,1000000,10000,10000,expanded_hmc_gvi_tuned,345.22503139999753,123.70533719999366,221.5196929999948,,cgvi,,3.2883240999944974,120.41701309999917,992039.5561043804,0.9920395561043804,0.9121257425742574,-0.0307019043308876,0.417273441863661,4.0,,,0.906,0.9108300419962616,-0.0009336223744045,270.0,
4.2.1_logistic,german,2,MALA,22160,,1000000,10000,10000,expanded_hmc_gvi_tuned,68.93751980000525,2.1962959000084084,66.74122309999075,10000.0,mala_pre_burn,1.407755799998995,,0.7885401000094134,147459.580460381,0.147459580460381,0.5628762376237624,0.7264088722714743,1.5193388724637278,,,,,,,,
4.2.1_logistic,german,2,RMH,22134,,1000000,10000,10000,expanded_hmc_gvi_tuned,22.58335890001036,0.2245855000073788,22.35877310000069,10000.0,rmh_pre_burn,0.2245855000073788,,0.0,11306.294342169704,0.0113062943421697,0.2343514851485148,0.9740432162907056,,,,,,,,,
4.2.1_logistic,german,3,AM,32146,,1000000,10000,10000,expanded_hmc_gvi_tuned,46.24004710000008,0.0,46.24004710000008,,adaptive,,,0.0,10611.122263359965,0.0106111222633599,0.2279039603960396,0.9743082569825816,,,,,,,,,
4.2.1_logistic,german,3,HMC,32176,,1000000,10000,10000,expanded_hmc_gvi_tuned,1420.54064810001,245.6287546999956,1174.9118754000085,10000.0,hmc_pre_burn,124.15566479999688,,243.2795213000063,774406.622930971,0.774406622930971,0.9502574257425742,0.0080072770153111,0.3272075117781016,24.0,0.0460323569985513,4.0,,,,,
4.2.1_logistic,german,3,HMC-GVI,32190,,1000000,10000,10000,expanded_hmc_gvi_tuned,521.2495280000003,183.5350105999969,337.71451560000423,,cgvi,,4.22671370000171,179.30829689999518,985615.82573072,0.98561582573072,0.912259405940594,-0.0222771140218211,0.418841154895421,4.0,,,0.924,0.9252084451297944,-0.0237223866940077,271.0,
